Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
The Green Park Ankara,Ankara,Turkish,English(Chinese),"The Green Park Ankara otelinin konumu ve hizmeti muhteşem. Personel çok cana yakın ve yardımsever. Odalar geniş, temiz ve konforlu, özellikle yataklar muhteşem.",Otelin genelinde Wi-Fi biraz daha hızlı olabilir. Kahvaltı seçenekleri biraz daha çeşitli olabilirdi.,9,POS
The Green Park Ankara,Ankara,Turkish,Romanian,"Otel konum olarak harika bir yerde. Çalışanlar çok güleryüzlü ve yardımseverler. Oda süper temiz ve konforluydu. Yataklar çok rahat. Kahvaltısını çok beğendim, çeşit çeşit lezzetler vardı. Kesinlikle tekrar kalacağım.","Her şey mükemmeldi, bir şikayetim olduğunu söyleyemem.",10,POS
The Green Park Ankara,Ankara,Turkish,English(Chinese),"The Green Park Ankara'nın konumu ve mimarisi oldukça etkileyici. Tesis içerisindeki sosyal tesislerin ayrıntıları ve dizaynı da dikkat çekici. Havuz, fitness center ve spa merkezi gibi alanlar otelde vakit geçirmek için ideal yerler. Otelin genel alanlarının temizliği ve düzeni de olumlu bir izlenim bırakıyor.","Ancak maalesef, hizmet kalitesi ve yemek seçenekleri beklenenden çok daha düşük. Özellikle restorandaki hizmet çok yavaştı ve yemekler kalitesizdi. Oda temizliği de tatmin edici değildi, birkaç gün boyunca aynı çarşaflar ve havlular değiştirilmedi. Ücretsiz Wi-Fi hizmeti dahi sık sık kesiliyor, bu da iş seyahati olanlar için büyük bir problem olabilir. Çalışanların geneli, özellikle resepsiyon ve temizlik personeli, dikkatsiz ve ilgisizdi, müşteri memnuniyeti hususunda eğitimlere ihtiyaçları olduğunu düşünüyorum.",4,NEG
The Green Park Ankara,Ankara,Turkish,English(Korean),Yemekleri lezzetli.,Personelinin ilgisizliği ve odaların temizliğinin yeterli olmaması. Çarşaf ve havlular yıpranmış durumda.,3,NEG
The Green Park Ankara,Ankara,Turkish,Turkish,Otelin lokasyonu hoşumuza gitti ve genel görüntüsü güzeldi.,"The Green Park Ankara'nın hizmet kalitesi ne yazık ki beklediğimiz gibi değildi. Personel ne yazik ki pek yardımcı olmuyor. Odamızda çarşaflar ve banyo temizliği yeterli derecede değildi ve bu durum konforumuzu önemli ölçüde etkiledi. Oda servisinde aksamalar vardı ve talep ettiğimiz bir çok şeyi getirmediler. Ayrıca, oteldeki internet hizmeti de oldukça kötüydü. Son olarak, kahvaltı seçenekleri de sınırlı ve lezzetsizdi.",3,NEG
The Green Park Ankara,Ankara,Turkish,English(Romanian),Otelin konumu iyi ve ulaşımı kolay.,"Oda temizliği yeterli değil, restorandaki yemekler lezzetsiz ve personel ilgisiz.",3,NEG
The Green Park Ankara,Ankara,Turkish,Spanish,Ankara'nın merkezinde konumlanmış olması avantajlı.,"Oda temizliği, hizmet kalitesi ve yiyecekler yeterli seviyede değildi. Personel ne yazık ki yeterince nazik ve yardımcı değildi.",2,NEG
The Green Park Ankara,Ankara,Turkish,Spanish,Merkezi konumu avantajlı.,Oda temizliği ve restoran hizmeti memnuniyet verici değil. Personel daha profesyonel olabilir.,4,NEG
The Green Park Ankara,Ankara,Turkish,Romanian,otel personelinin hizmeti güzel,temizlik konusunda çok sıkıntı yaşadık ve oda hizmetleri yetersiz,4,NEG
The Green Park Ankara,Ankara,Turkish,English(Romanian),Otelin konumu merkezi ve rahat ulaşım imkanı sunuyor.,Otelin genel temizliğinden memnun kalmadım. Odaların hijyen standartları düşüktü ve açıkçası biraz eski görünüyordu. Ayrıca personelin ilgisizliği ve yardımcı olma konusundaki isteksizliği hizmet kalitesini düşürdü. Oda servisinden hiç memnun kalmadım ve yiyecekler beklediğimden çok daha düşük kaliteydi.,3,NEG
The Green Park Ankara,Ankara,Turkish,Turkish,"Bina güzel ve konumu merkezi, kolaylıkla ulaşım sağlanabiliyor.",Oda temizliği ve genel bakım yetersizdi. Ayrıca oda servisi çok yavaştı ve resepsiyonistler pek yardımcı olmuyor.,4,NEG
The Green Park Ankara,Ankara,Turkish,English(Chinese),Otelin konumu iyiydi ve çevresinde birçok yeme-içme mekanı vardı.,"Ancak odalar eski ve bakımsızdı. Temizlik konusunda daha çok özen gösterilmesi gerekiyor. Ayrıca, resepsiyon personeli daha yardımsever olabilirdi.",4,NEG
The Green Park Ankara,Ankara,Turkish,English(German),Otelin konumu ve genel alandaki temizlik memnuniyet vericiydi,"Oda temizliği gerçekten berbattı, özellikle banyoda çok fazla kireç ve küf vardı. Mobilyalar yıpranmış ve oldukça eskiydi. Bunun yanında, personel konusunda da ciddi anlamda problem yaşadım, işlerini isteksizce ve asık suratla yapıyorlardı. Ayrıca, otelde çoğu zaman internet bağlantısı problemi yaşadım bu da işlerim için büyük bir problem oluşturdu.",2,NEG
