Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Hotel Ickale,Ankara,Spanish,English(French),"El Hotel Ickale en Ankara brinda una experiencia magnífica al viajero. La ubicación es ideal, en el corazón de la ciudad, por lo que es fácil explorar Ankara. Las habitaciones son espaciosas, cómodas y extremadamente limpias. La atención del personal fue excepcional, siempre dispuestos a ayudar y garantizar que tu estancia sea lo más cómoda posible. Además, el desayuno incluido fue variado y delicioso, con opciones para todos los gustos.","El único aspecto a mejorar sería la señal de wifi, la cual era un poco débil en ocasiones.",8,POS
Hotel Ickale,Ankara,Spanish,English(Russian),"El Hotel Ickale en Ankara presentó un servicio fabuloso. Las habitaciones eran cómodas, el personal muy amable y siempre dispuesto a ayudar. El desayuno incluido era variado y de buena calidad. La ubicación es céntrica, cerca de muchas atracciones turísticas.",Un poco anticuado en términos de decoración y el wifi podría ser un poco más rápido.,8,POS
Hotel Ickale,Ankara,Spanish,French,"El Hotel Ickale en Ankara tiene una ubicación fantástica, con acceso a tiendas locales y restaurantes, y personal muy amable y servicial. Las habitaciones son limpias y bien equipadas, y el desayuno buffet es delicioso con una amplia variedad.","Aunque no hubo problemas importantes, la conexión Wi-Fi podría ser un poco inestable a veces.",8,POS
Hotel Ickale,Ankara,Spanish,English(German),"El Hotel Ickale en Ankara proporciona una estancia muy cómoda. Las habitaciones son amplias y extremadamente limpias. El personal se preocupa mucho por el bienestar de los huéspedes y está siempre dispuesto a ayudar. El desayuno es variado y delicioso. La ubicación también es excelente, el hotel se encuentra cerca de varios puntos de interés.",N/A,9,POS
Hotel Ickale,Ankara,Spanish,English(German),"El Hotel Ickale en Ankara es un precioso lugar para alojarse. La ubicación es muy céntrica y perfecta para explorar la ciudad. Las habitaciones son cómodas y limpias, y el personal es realmente atento y amable. El desayuno es variado y delicioso.",El único inconveniente que encontré fue que la señal de WiFi en mi habitación no era muy fuerte.,8,POS
Hotel Ickale,Ankara,Spanish,English(Russian),Buena ubicación en el centro de la ciudad,"El servicio al cliente fue deficiente, la limpieza dejaba mucho que desear y el ruido del tráfico era insoportable. El desayuno no tenía suficiente variedad y las habitaciones necesitaban mantenimiento. No recomendaría este hotel a otros turistas",3,NEG
Hotel Ickale,Ankara,Spanish,English(Korean),"Lamentablemente, no hubo ningún aspecto positivo en mi estadía.","El hotel no parecía limpio, y la habitación estaba en mal estado. El mobiliario era viejo y usado, y algunas instalaciones no funcionaban correctamente, incluyendo la ducha y el aire acondicionado. El servicio de habitaciones no estaba disponible cuando lo necesitaba, y la comida en el restaurante del hotel no era agradable. Además, el personal del hotel no fue amable o servicial cuando tuve problemas. Definitivamente, no recomendaría este hotel a nadie.",2,NEG
Hotel Ickale,Ankara,Spanish,German,Nada,"El personal de recepción no es amable ni servicial. No ayudaron con las maletas a pesar de tener escaleras. Las habitaciones son antiguas y necesitan una reforma. Las camas son incómodas y el cuarto de baño no estaba en las mejores condiciones. Además, el hotel no está situado en el mejor de los barrios. No recomendaría este hotel.",2,NEG
Hotel Ickale,Ankara,Spanish,English(German),La ubicación central podría haber sido un punto positivo si la experiencia en general no hubiera sido tan decepcionante.,"El personal del Hotel Ickale fue muy poco hospitalario y no parecía capacitado para manejar las inquietudes de los clientes. La habitación estaba sucia a mi llegada - encontré restos de los huéspedes anteriores, lo cual fue bastante desagradable. El servicio de habitaciones estuvo por debajo del promedio, a veces tardaron más de una hora para atender una solicitud simple. Además, el hotel estaba en mal estado y claramente necesitaba renovaciones, principalmente en las áreas comunes y en el equipo del gimnasio. El WiFi, además, era poco fiable y muy lento. Ciertamente, no recomendaría este hotel a futuros viajeros.",2,NEG
Hotel Ickale,Ankara,Spanish,English(Russian),El único aspecto positivo que puedo señalar es su ubicación centralizada en Ankara.,"Mi experiencia en el Hotel Ickale ha sido bastante desagradable. Las habitaciones son viejas y la limpieza deja mucho que desear. Además, el servicio al cliente fue muy deficiente, el personal no fue amable ni servicial. La calidad del desayuno fue muy baja, con opciones muy limitadas y de baja calidad. Hay mucho ruido tanto de la calle como de las habitaciones contiguas, lo que hizo imposible un descanso adecuado. Por todas estas razones, no recomendaría este hotel a otros turistas.",2,NEG
Hotel Ickale,Ankara,Spanish,Chinese,El personal de recepción es amable y la ubicación es buena,Las habitaciones son antiguas y no están bien mantenidas. El baño tenía un olor desagradable y la ducha giraba de caliente a fría. El desayuno era muy básico y la calidad de la comida no era buena,3,NEG
Inn 65 Budget,Ankara,Spanish,English(Turkish),El personal era amistoso y las habitaciones estaban limpias,El desayuno podría ser mejorado,7,POS
Inn 65 Budget,Ankara,Spanish,English(Romanian),"Excelente elección para alojarse en Ankara. Ofrecen habitaciones limpias, elegantes y proposiciones especiales como el desayuno gratis. La ubicación también es conveniente, cerca de muchos puntos de interés.","El único problema menor podría ser que el aire acondicionado no era suficientemente potente para los días más calurosos de verano. Aparte de esto, todo estuvo perfecto.",8,POS
Inn 65 Budget,Ankara,Spanish,Spanish,"El personal es muy amable y servicial, y las habitaciones son limpias y cómodas.",El desayuno podría ser más variado.,8,POS
Inn 65 Budget,Ankara,Spanish,Russian,"La atención del personal fue excelente, siempre dispuesto a ayudar y proporcionar información. Las habitaciones estaban muy limpias, y la ubicación es perfecta para explorar la ciudad. Excelente relación calidad-precio.","Realmente no tengo nada de que quejarme, todo estuvo a la altura de mis expectativas.",10,POS
Inn 65 Budget,Ankara,Spanish,Korean,"El Inn 65 Budget es un hotel cómodo y acogedor en Ankara, ideal para una estancia corta. El personal es muy amable y servicial.","Algunas de las instalaciones podrían necesitar una actualización, pero en general es un buen hotel.",8,POS
Inn 65 Budget,Ankara,Spanish,Turkish,"La ubicación es buena, cerca de muchas atracciones locales",El lugar necesita una renovación seria. Las habitaciones son pequeñas y descuidadas,3,NEG
Inn 65 Budget,Ankara,Spanish,French,Buena ubicación central y la habitación estaba limpia,El desayuno era muy básico y la presión del agua en la ducha era bastante baja,3,NEG
