Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Hotel Ickale,Ankara,German,English(Romanian),"Hervorragender Service, tolle Ausstattung, leckeres Frühstück.",Die Zimmer könnten moderner sein.,8,POS
Hotel Ickale,Ankara,German,English(Chinese),"Das Hotel Ickale bietet eine fantastische Aussicht auf Ankara, besonders bei Nacht. Die Zimmer sind sauber und gut ausgestaltet mit hoher Geschwindigkeits-Internetverbindung. Das Personal war freundlich, hilfsbereit und sehr professionell. Die zentrale Lage und der fantastische Spa-Bereich haben meine Reise noch angenehmer gemacht.","Manche der Möbel könnten modernisiert werden, um das gesamte Ambiente zu verbessern.",9,POS
Hotel Ickale,Ankara,German,English(German),Das Personal war sehr freundlich und hilfsbereit. Die Zimmer waren sauber und die Betten sehr komfortabel. Zentrale Lage in der Stadt. Die Mahlzeiten im Hotel waren alle sehr lecker. Ein ausgezeichnetes Preis-Leistungs-Verhältnis.,nan,9,POS
Hotel Ickale,Ankara,German,English(German),"Tolle Lage, fantastisches Frühstück, sehr sauber und ein Professionalität zeigendes Personal, hat meine Erwartungen erfüllt.",nan,8,POS
Hotel Ickale,Ankara,German,English(French),"Das Hotel Ickale hat uns sehr gut gefallen: Die zentrale Lage ist optimal – viele Sehenswürdigkeiten sind zu Fuß erreichbar. Die Zimmer waren sauber und komfortabel, und das Personal war sehr freundlich und hilfsbereit. Besonders hat uns das reichhaltige Frühstücksbuffet gefallen, das frisches türkisches Gebäck, Obst und traditionelle Spezialitäten geboten hat.",Einziger Nachteil: Die Klimaanlage auf dem Zimmer war ein wenig laut. Aber sie hat sehr gut funktioniert und uns in den heißen Sommertagen in Ankara gut Dienste erwiesen.,8,POS
Hotel Ickale,Ankara,German,Spanish,Schönes Hotel mit komfortablen Zimmern und gutem Service,Das WLAN könnte zu Spitzenzeiten etwas schneller sein,8,POS
Hotel Ickale,Ankara,German,English(German),Die Lage des Hotels war recht zentral.,Das Hotel hat seine besten Zeiten definitiv hinter sich. Alles ist in die Jahre gekommen und dringend renovierungsbedürftig. Die Sauberkeit ließ auch zu wünschen übrig - vor allem das Badezimmer. Das Personal war eher unfreundlich und wenig hilfsbereit. Das Preis-Leistungs-Verhältnis stimmte hier leider gar nicht.,3,NEG
Hotel Ickale,Ankara,German,German,Die zentrale Lage des Hotels,Die Zimmer waren veraltet und nicht sehr sauber. Der Service war unorganisiert und das Personal war nicht sehr freundlich. Das Essen war auch nicht zufriedenstellend.,3,NEG
Hotel Ickale,Ankara,German,Russian,Das Personal war freundlich und bemüht.,Die Zimmer waren dreckig und die Betten unbequem. Das Badezimmer war in einem schlechten Zustand und das Frühstück war sehr schlecht. Die Hotelumgebung ist nicht ansprechend und das Preis-Leistungs-Verhältnis ist nicht gerechtfertigt. Ich würde dieses Hotel aufgrund meiner Erfahrung nicht weiterempfehlen.,3,NEG
Hotel Ickale,Ankara,German,English(French),Das Personal war zuvorkommend und das Hotel hat eine gute Lage in der Stadt.,"Leider war das Zimmer nicht sehr sauber, es gab Staub und Flecken auf den Teppichen. Das WLAN funktionierte nicht gut und fiel ständig aus. Auch das Frühstück ließ zu wünschen übrig, mit nur wenigen Optionen und schlechter Qualität Lebensmitteln.",4,NEG
Hotel Ickale,Ankara,German,Russian,Lage ist sehr zentral,"Die Zimmer sind sehr alt und nicht mehr auf dem neuesten Stand. Das Frühstück war ungenießbar, das Brot war alt und hart, es gab kaum Auswahl. Der Service ließ auch sehr zu wünschen übrig, das Personal war unfreundlich und nicht hilfsbereit. Darüber hinaus war das WLAN im Zimmer sehr schwach und das Bad war nicht sauber.",2,NEG
Hotel Ickale,Ankara,German,English(Turkish),Die Aussicht auf die Stadt ist wirklich beeindruckend und das Frühstück war in Ordnung.,Das Zimmer war leider sehr alt und abgenutzt. Die Klimaanlage funktionierte nicht richtig und es gab Probleme mit dem Warmwasser. Außerdem war der Service nicht zufriedenstellend - das Personal war unfreundlich und wenig hilfsbereit.,4,NEG
Hotel Ickale,Ankara,German,English(Russian),Die lage des hotels ist perfekt. nahe von der stadt und nahe von den metrostationen. das war ein pluspunkt.,"Leider kann ich das Hotel Ickale in Ankara nicht empfehlen. Die Zimmer waren schmutzig und das Personal war unfreundlich. Es gab auch viele technische Probleme im Zimmer - die Klimaanlage funktionierte nicht richtig und der Fernseher hatte nur ein paar Kanäle. Die Qualität des Essens im Restaurant ließ ebenfalls zu wünschen übrig. Es schien, als ob das Hotel schon bessere Zeiten gesehen hat, und nun vernachlässigt wird. Insgesamt war meine Erfahrung in diesem Hotel zutiefst enttäuschend.",2,NEG
Hotel Ickale,Ankara,German,English(Chinese),"Zentral gelegen, nahe den Einkaufszentren","Die Zimmer sind alt und das Frühstück ist wählerisch, schlechter Kundenservice",4,NEG
