Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Hotel Abro Sezenler,Ankara,Russian,English(Turkish),"Отель 'Hotel Abro Sezenler' - прекрасное место для проживания в Анкаре. Местоположение удобно, близко к многим достопримечательностям. Номера чистые, уютные и комфортабельные. Удивительно качественное и разнообразное питание, особенно завтраки. Персонал был дружелюбным и весьма отзывчивым. Они всегда готовы помочь и подсказать, когда нужно. Отдельное спасибо за бесплатный Wi-Fi!",nan,8,POS
Hotel Abro Sezenler,Ankara,Russian,English(Italian),"Я действительно наслаждался своим пребыванием в отеле Abro Sezenler. Для начала, команда отеля была настолько дружелюбной и полезной, что сделала мое пребывание действительно комфортным. Комната была чистой и хорошо оборудованной, а кровать была удивительно удобной. Горничная постоянно поддерживала в комнате идеальную чистоту. Второе - это завтрак. Буфет был великолепным с широким выбором продуктов. И, наконец, отель находится в удобном месте, легко добраться до основных туристических мест и общественного транспорта. В общем, мое пребывание было превосходным!",Отрицательных моментов не было.,9,POS
Hotel Abro Sezenler,Ankara,Russian,Spanish,"Отличное месторасположение, уютные номера, внимательный персонал. Завтраки насыщенные и вкусные.",nan,9,POS
Hotel Abro Sezenler,Ankara,Russian,English(Italian),Отель Абро Сезенлер уточниен положением в Стамбуле. Нам очень понравилась его простота и элегантность. Наш номер был очень чистым и комфортным. Завтрак в отеле был вкусным и разнообразным.,"Интернет в нашем номере был неочень стабильным. Но в целом, это не споило нашего стая.",8,POS
Hotel Abro Sezenler,Ankara,Russian,Italian,"Отель Abro Sezenler в Анкаре является совершенным победителем из-за высокого качества сервиса, удобных номеров и прекрасного завтрака. Расположение отеля очень удобно, все главные достопримечательности находятся в пешеходной доступности","Услышав о бесплатной парковке, мы обнаружили, что ее не было, и нам пришлось позаботиться о платной парковке",8,POS
Hotel Abro Sezenler,Ankara,Russian,Chinese,Обслуживание было очень добрым и вежливым.,"Были проблемы с чистотой, в ванной комнате был неприятный запах. WiFi не работал как надо, не смог обновить новости и почитать почту. Завтрак оставил желать лучшего, выбор был скудным.",4,NEG
Hotel Abro Sezenler,Ankara,Russian,English(Romanian),Нет данных,"Сервис оставляет желать лучшего - персонал кажется недостаточно обученным и ориентированным на клиента. Кроме того, комнаты были жутко грязными и мебель очень устаревшей. Завтрак был очень скудный и качество продуктов было невысоким.",3,NEG
Hotel Abro Sezenler,Ankara,Russian,French,"Отель расположен в центре города, это очень удобно. Подключение к Wi-Fi бесплатное и скорость интернета отличная.","Номера были грязными, с старой мебелью. В ванной была неприятная запах. Персонал не был дружелюбен и неспешив. Завтрак оставлял желать лучшего.",3,NEG
Hotel Abro Sezenler,Ankara,Russian,English(Romanian),"Замечательное месторасположение в центре города. Есть кондиционер, но практично не работает.","Отель устаревший, номера тесные и неухоженные. В ванной слабая загоранка воды, неудобство. Сервис оставил желать лучшего, персонал не внятливой и нехотящий помочь.",4,NEG
Hotel Abro Sezenler,Ankara,Russian,Korean,Очень удобное расположение в центре,"Некачественное обслуживание, персонал был не очень внимательным и номера были грязными",4,NEG
Hotel Abro Sezenler,Ankara,Russian,English(Italian),"Расположение отеля недалеко от исторического центра оказалось удобным, завтраки были достаточно просты, но вполне сытны.","Номер оставил много желать лучшего. Мебель была потертой и старой, кровати некомфортные. Бельё не было достаточно чистым, а в ванной комнате была заметна проблема с плесенью. Очень шумно из-за близлежащей дороги, и изоляция звука оставляла желать лучшего. Сервис был нестабильным, персонал в некоторых случаях был недружелюбным.",3,NEG
