Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
迪万卡拉汉酒店,Ankara,Chinese,Spanish,酒店的房间非常安静，提供的旅游日常用品也非常高級,早餐的選擇有些不夠,8,POS
迪万卡拉汉酒店,Ankara,Chinese,English(German),该酒店地理位置优越，交通便利。,我订的房间缺乏维护，房间内设施感觉比较陈旧，尤其是地毯，看上去非常脏旧，且有种异味。另外，酒店早餐品种不多，食品口味偏弱。最不满的是酒店的服务态度，服务员的服务意识强度不足，没有解决问题的积极性和主动性，完全不符合四星级酒店的标准。,4,NEG
迪万卡拉汉酒店,Ankara,Chinese,English(Turkish),酒店的位置还不错,感觉涉世不深的工作人员在服务时发生了困难，他们总会将会议归于语言隐私和阶级系统填补，却忻见了我们的需要。每天早上酒店的咨询部门开启了我们设置的闲聊话题，却忽见了我们的需要。这些角营萨且冒陷，很明显紧急的工作人员明显辛劳，列表上的内容难以权衡。,3,NEG
安卡拉卡亚酒店,Ankara,Chinese,English(Turkish),早餐种类丰富，各种食品口味都不错。,房间设施较为陈旧，床垫过硬，空调噪音较大。服务员态度过于冷淡，缺乏微笑和热情。,4,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,Chinese,这个酒店环境优美，服务态度特别好，前台接待非常热情。房间内部装修风格高雅，卫生条件也很好。位于市中心，交通非常便利。,价格偏高，导致性价比一般。,8,POS
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,English(Spanish),酒店的地理位置非常好,酒店的设施备视老旧，服务不经意算吸引人,4,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,Turkish,地理位置优秀,服务品质不如以前、房间综合条件而言贵的，餐饮质量下降,2,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,Spanish,酒店印象好的地方确实不多，一些匆忙的服务和过时的设施使得体验大幅下降。早餐的选择看似丰富，但食品质量并不高。,整体而言，我并不满意这次的入住体验。酒店房间大小适中，不过稍显陈旧。洗浴设施显然已经过了最佳使用期。酒店的服务人员也做得很差，看起来他们似乎并不愿意帮助客人解决问题。噪音问题也很严重，特别是在晚上。酒店的餐厅服务也相当一般，食物的味道并不好。按照五星级酒店来看，这家酒店的性价比很低，让我非常失望。我不建议其他游客选择这家酒店。,3,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,English(Turkish),酒店位于北京市区内，交通方便。,客房配套设施较老化，洗手浴室设施不齐全。房间内部清洗不干净。服务员的服务态度不称职业。,4,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,French,酒店位于城市中心，交通便利，近旁利购视食还是很方便的。,我买的是大床房，当我到达酒店时他们升级我的房间。我不是很欣喜此操作，因为我需要更大的床。当我要求换房时，他们咧了我。正食餐厅也没有白餐纯饭，只有摘米，我觉得大负了。已经预订的床上和餐席，却被改变，似乎没有尊重客人。（我在网上预订的时候，期望客户为王兽，但很明显他们不认同）。第二天，我又除了受伤，所以我音调胶了，和他们合作解决信息操作的问题，有些难度。,4,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,Spanish,房间大小适中，床铺舒适，位置离许多旅游点也很近,房间清洁不彻底，尤其是浴室。客户服务也需要改进，响应时间较长，且处理客户请求时显得不够专业。餐饮选择也相对有限，菜品质量也令人失望。,4,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,English(Italian),酒店位置好，打车方便,酒店设施陈旧，电梯使用不便。客房清洁度一般，发现有尘埃。早餐种类少，味道一般。,3,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,German,通辟室充足，景观不错，地理位置交通很方便,房间离地铁站距离较远，附近沧食店少。客房精裝不到位，設施年代感激強，娘子服務少，擅剧場床嗲很重，和房間的價格不成比例,2,NEG
北京长城饭店(原北京喜来登长城饭店）,Beijing,Chinese,English(Spanish),酒店的地理位置很好，离长城很近。,房间的清洁度有待提高，服务人员的态度也不尽如人意，早餐的选择也较少。,4,NEG
