Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Hotel Ickale,Ankara,French,Turkish,"L'Hotel Ickale est idéalement situé au cœur d'Ankara, ce qui rend la visite des principales attractions touristiques très pratique. Les chambres sont spacieuses, propres et disposent d'un magnifique panoramique sur la ville. Le restaurant au sommet de l'hôtel est également fantastique avec une variété de plats délicieux.","Cependant, le wi-fi peut être un peu irrégulier et la décoration pourrait être modernisée. De plus, l'hôtel pourrait améliorer son service client.",8,POS
Hotel Ickale,Ankara,French,English(Italian),"L'Hôtel Ickale à Ankara offre une experience très agreable. Les chambres sont spacieuses et propres, le personnel est courtois et disponible et la nourriture est excellente. De plus, l'emplacement dans le centre-ville est parfait pour visiter les sites les plus importants d'Ankara.","Le seul inconvénient était le bruit venant de la rue le soir, mais, autrement, tout était parfait.",8,POS
Hotel Ickale,Ankara,French,Korean,"Hotel Ickale à Ankara était une expérience mémorable. Le personnel était extrêmement serviable et accueillant. La chambre elle-même était spacieuse, joliment décorée et très propre. Le lit était très confortable, ce qui a rendu mon sommeil paisible. En plus de cela, l'emplacement de l'hôtel était idéal, car il était proche de nombreux points d'intérêt touristiques.","La seule chose qui aurait pu être améliorée était le petit déjeuner. Bien qu'il y ait eu une bonne variété, la qualité n'était pas à la hauteur de mes attentes.",8,POS
Hotel Ickale,Ankara,French,English(Romanian),"Bel hôtel avec des chambres spacieuses et très bien équipées. Le restaurant offre également une variété de plats délicieux, c'est un vrai plaisir pour les papilles. Le personnel est très accueillant et professionnel, toujours prêt à vous aider.",L'insonorisation des chambres pourrait être améliorée.,8,POS
Hotel Ickale,Ankara,French,English(Spanish),"Hôtel Ickale à Ankara est le choix parfait pour les voyageurs. Les chambres sont impeccables, élégantes et confortables. Le restaurant offre une sélection exceptionnelle de plats turcs et internationaux, et le petit déjeuner est tout simplement fantastique. Le personnel est toujours prêt à aider et à faire un extra mile pour les invités.","Seul inconvénient, le Wi-Fi aurait pu être un peu plus rapide.",8,POS
Hotel Ickale,Ankara,French,Korean,Personnel amical et emplacement favorable dans la ville.,"La chambre était inconfortable et bruyante, les équipements étaient obsolètes et la propreté n'était pas à la hauteur. L'ensemble donne une impression de négligence.",4,NEG
Hotel Ickale,Ankara,French,Russian,L'emplacement central,"Le service était médiocre. Les chambres étaient sales et délabrées. Le buffet du petit déjeuner laissait beaucoup à désirer. En outre, l’hôtel Ickale a grandement besoin d’une rénovation car l'ensemble de l'hôtel semble vieux et usé. Je ne recommanderais pas cet hôtel aux futurs voyageurs, car l'expérience globale était loin d'être agréable.",2,NEG
Hotel Ickale,Ankara,French,English(Romanian),Le personnel était serviable,"L'équipement était vieux, nettoyage insuffisant et la nourriture n'était pas à la hauteur",2,NEG
Hotel Ickale,Ankara,French,Russian,Le personnel travaillait dur pour maintenir les installations.,"L'hôtel est extrêmement daté, avec des draps vieillis et des appareils cassés. Il semble qu'ils n'investissent pas dans la maintenance. Le petit déjeuner était peu varié et pas frais. L'emplacement est également loin des principales attractions touristiques, ce qui rend le déplacement difficile.",3,NEG
Hotel Ickale,Ankara,French,English(Russian),La proximité de l'hôtel avec le centre-ville,"Chambres bruyantes et mal isolées.
Service de nettoyage des chambres insuffisant. 
Petit déjeuner peu varié et de qualité décevante.
Personnel pas très accueillant.",3,NEG
Hotel Ickale,Ankara,French,Korean,La situation géographique de l'hôtel. Personnel serviable.,Les chambres ont besoin d'une rénovation. Le mobilier est ancien et usé. Le petit-déjeuner était très basique et pas très varié,4,NEG
Hotel Ickale,Ankara,French,Korean,"L'emplacement est bien, situé à proximité du centre-ville d'Ankara","Le manque de propreté est notable. La nourriture n'est pas de bonne qualité et le service à la clientèle laisse à désirer. Les chambres sont bruyantes et mal isolées, et les meubles sont vieux et usés.",4,NEG
New Park Hotel,Ankara,French,Italian,Personnel très professionnel - Chambre et salle de bain très propres - Bon emplacement central,Wifi parfois instable,8,POS
New Park Hotel,Ankara,French,Italian,"La chambre était spacieuse et très propre, le personnel était serviable et l'emplacement de l'hôtel est idéalement situé au centre d'Ankara, ce qui facilite l'exploration de la ville.","La climatisation était parfois bruyante, ce qui a perturbé notre sommeil lors de certaines nuits.",8,POS
New Park Hotel,Ankara,French,English(Chinese),"Le New Park Hotel à Ankara est un excellent choix pour un séjour relaxant. Les chambres sont propres et confortables avec toutes les commodités nécessaires. Le personnel est très accueillant et professionnel, toujours prêt à aider. L'emplacement est également idéal, proche de nombreux sites touristiques. De plus, le petit déjeuner est très varié et délicieux. Une expérience vraiment agréable.",nan,8,POS
New Park Hotel,Ankara,French,English(Turkish),"L'emplacement est excellent, la chambre est spacieuse et confortable, personnel amical et serviable.",Pas de critique à faire dans ce secteur.,9,POS
New Park Hotel,Ankara,French,English(German),"L'accueil était excellent, le personnel était chaleureux et disponible. La propreté impeccable et la localisation était parfaite, à proximité de tout nécessaire",Il n'y avait aucun point négatif durant notre séjour,9,POS
New Park Hotel,Ankara,French,English(Italian),Le personnel était sympathique,"Les chambres étaient assez sales et la salle de bain était en mauvais état. En plus, le WiFi ne fonctionnait pas bien et le bruit de la rue était trop fort pendant la nuit",3,NEG
New Park Hotel,Ankara,French,Korean,la terrasse du restaurant offre une belle vue sur la ville.,les chambres sont bruyantes et la propreté laisse à désirer. Le personnel manque de professionnalisme.,3,NEG
