Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
New Park Hotel,Ankara,Italian,English(Russian),"Il New Park Hotel di Ankara mi ha veramente impressionato. La sua posizione centrale rende facilmente raggiungibili molte attrazioni della città. Le camere sono spaziose e ben tenute, con un design moderno e un livello di pulizia impeccabile. Il personale è estremamente accogliente e disponibile, sempre pronto a soddisfare le esigenze degli ospiti. La colazione è un'altra caratteristica che ho particolarmente apprezzato: ricca e varia, con un'ottima scelta di cibi locali e internazionali.",nan,8,POS
New Park Hotel,Ankara,Italian,English(German),"L'Hotel New Park di Ankara è un luogo eccellente per soggiornare. Le camere sono spaziose e ben arredate, con letti confortevoli per un buon riposo. Lo staff è molto cortese e disponibile per soddisfare qualunque esigenza. La colazione offerta è varia e di buona qualità, con deliziosi dolci fatti in casa. Inoltre, la posizione dell'hotel è molto comoda, vicino ai principali punti di interesse della città.",Non ho trovato aspetti negativi durante il mio soggiorno.,9,POS
New Park Hotel,Ankara,Italian,Romanian,Personale professionale ed accogliente. Camere pulite ed ampie. Posizione centrale,"Nessuna segnalazione particolare, tutto ok. Consigliato!",8,POS
New Park Hotel,Ankara,Italian,Korean,L'hotel New Park ad Ankara ha superato tutte le mie aspettative. La sua ubicazione è perfetta con un rapido accesso alla vita notturna e ai ristoranti locali. Le camere erano immacolate e il personale era straordinariamente gentile e disponibile.,"L'unica pecca potrebbe essere la colazione che potrebbe avere un po' più di varietà, ma tutto il resto era perfetto.",9,POS
New Park Hotel,Ankara,Italian,English(Turkish),"Camera molto pulita e silenziosa, personale professionale e disponibile. La colazione era abbondante e deliziosa. Posizione eccellente nel centro della città.",nan,10,POS
New Park Hotel,Ankara,Italian,Romanian,Dispone di personale gentile,"L'hotel ha bisogno di un'ammodernamento generale. Le pareti della camera erano sporche, il bagno non pulito adeguatamente. La colazione fornita è molto semplice e manca di varietà, non all'altezza del costo per notte.",3,NEG
New Park Hotel,Ankara,Italian,Italian,Il personale è cordiale e disponibile,"Le camere sono vecchie e poco accoglienti. L'insonorizzazione è praticamente inesistente, ho sentito tutto quello che accadeva nel corridoio. La colazione non ha offerto abbastanza varietà e la qualità del cibo lasciava molto a desiderare. Gli ascensori inoltre, sono lenti e spesso in funzione. Per tutto ciò, non sono certo che sceglierei nuovamente questo albergo.",3,NEG
New Park Hotel,Ankara,Italian,English(Romanian),"La posizione è centralissima, vicino a molti negozi e ristoranti.",Stanze poco pulite e personale maleducato. Colazione molto scarsa e Wi-Fi praticamente inesistente.,3,NEG
Hotel Ickale,Ankara,Italian,English(Russian),"Ottima posizione centrale di Ankara.
Camera molto confortevole e pulita
Staff amichevole e disponibile",Nessuno.,10,POS
Hotel Ickale,Ankara,Italian,English(Turkish),Ottima la posizione. Personale molto gentile e disponibile. Colazione eccellente,Alcune parti dell'hotel richiedono una ristrutturazione,8,POS
Hotel Ickale,Ankara,Italian,English(Chinese),"L'Hotel Ickale di Ankara offre un servizio impeccabile. Gli spazi comuni sono puliti e invitanti. Le camere sono comode, spaziose e dotate di ogni comfort. La colazione servita è ricca e variegata, con specialità locali deliziose.",Non ci sono aspetti negativi degni di nota.,9,POS
Hotel Ickale,Ankara,Italian,English(Italian),"Ambiente molto accogliente, personale cortese e disponibile. La posizione dell'hotel è perfetta: centrale comoda per ogni spostamento. Gli spazi comuni e le camere sono molto puliti e ben curati.","Il cibo non era molto vario, potrebbero aumentare le opzioni.",8,POS
Hotel Ickale,Ankara,Italian,English(French),"Ho apprezzato molto la posizione strategica dell'Hotel Ickale, a pochi minuti di cammino dal centro di Ankara. Le camere sono spaziose e pulite, con una bella vista sulla città. Il personale è sempre stato molto gentile e disponibile, formato per soddisfare ogni nostro bisogno. Il ristorante proponeva una cucina tradizionale molto buona, con una varietà di piatti per tutti i gusti.","L'unico aspetto negativo è stato il Wi-Fi, a volte un po' lento nelle ore di punta. Comunque era comunque sufficiente per le mie esigenze di base.",8,POS
Hotel Ickale,Ankara,Italian,Romanian,Veduta panoramica della città,"Camera rumorosa, il bagno non era pulito adeguatamente, il servizio non era all'altezza, cibo del ristorante mediocre.",3,NEG
Hotel Ickale,Ankara,Italian,Russian,Vicinanza al centro storico,"Il servizio lascia molto a desiderare e le stanze avevano un odore strano. Inoltre, i servizi come il Wi-Fi erano molto lenti. Non recomanderei questo hotel.",4,NEG
Hotel Ickale,Ankara,Italian,English(Korean),Il personale è educato e disponibile,"Le stanze non sono pulite come dovrebbero, il WIFI non si connette molto bene e il cibo del ristorante è insignificante. Il rumore proveniente dal corridoio è ew troppo forte, rendendo difficile dormire tranquillamente",3,NEG
Demora Hotel,Ankara,Italian,English(Turkish),"Una struttura esemplare, con un personale molto attento e disponibile. Posizione centrale in una zona ben servita. Stanze pulite e confortevoli.","L'unica pecca è stata la colazione, dove la varietà e la quality del cibo non era all'altezza del resto dell'hotel.",8,POS
Demora Hotel,Ankara,Italian,Russian,"Il personale è estremamente cortese e disponibile. Le camere sono pulite, confortevoli e spaziose. La posizione dell'hotel è ottima, centrale e molto comoda per esplorare la città.","Colazione un po' monotona, manca un po' di varietà.",8,POS
Demora Hotel,Ankara,Italian,English(Italian),"L'Hotel Demora ad Ankara si distingue per la sua posizione strategica, la professionalità del personale e la qualità del cibo al ristorante. La camera era estremamente pulita e confortevole.",Nessuna lamentela degna di nota.,9,POS
Demora Hotel,Ankara,Italian,English(Turkish),"La posizione del Demora Hotel a Ankara è eccellente, molto comoda per raggiungere le principali attrazioni della città. Il personale dell'hotel è amichevole e sempre disponibile a offrire aiuto. Le stanze sono pulite, confortevoli e dotate di tutte le comodità.","Ho riscontrato alcune difficoltà con la connessione Wi-Fi in camera, a volte era instabile.",8,POS
Demora Hotel,Ankara,Italian,English(Italian),"Ottima posizione, con ristoranti e siti storici nelle vicinanze. Camere pulite e spaziose. Il personale è molto cordiale e disponibile.","La colazione potrebbe essere migliorata con più varietà, ma comunque accettabile.",7,POS
Demora Hotel,Ankara,Italian,English(Chinese),-,"Posizione disagiata con vista non piacevole. La stanza era sporca, con mobili vecchi e rotti. Il bagno era in condizioni pessime, con doccia che perdeva e rubinetti arruginiti. Il cibo servito al ristorante non era di mio gradimento, il personale sembrava scorbutico e poco accogliente. In generale, l'hotel ha bisogno di una grossa rinnovamento.",2,NEG
Demora Hotel,Ankara,Italian,Chinese,La struttura è molto moderna e il design delle camere è accattivante. Il personale è stato molto professionale e disponibile.,"La pulizia della stanza lasciava a desiderare e l'isolamento acustico era praticamente inesistente, si sentiva ogni singolo rumore proveniente dal corridoio e dalle altre stanze. Inoltre il Wi-Fi spesso era molto lento e la colazione era piuttosto limitata per un albergo di questa categoria.",4,NEG
Demora Hotel,Ankara,Italian,English(Chinese),Il design dell'hotel è moderno e interessante,"Purtroppo, l'hotel non è ben pulito. Il servizio è deludente e la colazione lascia molto a desiderare. La connessione Wi-Fi è lenta e inaffidabile.",3,NEG
Hotel Cinnah,Ankara,Italian,English(Romanian),"La posizione dell'hotel Cinnah è ottima, centrale e comoda per raggiungere punti di interesse principali. Le camere sono pulite e ben arredate.",La connessione WiFi potrebbe essere migliorata.,8,POS
Hotel Cinnah,Ankara,Italian,English(Spanish),"L'Hotel Cinnah è è un piccolo gioiello nel cuore di Ankara. Le camere sono curate e pulite, il personale è molto professionale e gentile, sempre pronto ad assisterti. La posizione è ottima, vicina a molti punti di interesse turistici e commerciali. Inoltre, l'hotel offre una ricca e varia colazione che soddifará sicuramente ogni palato","Unica pecca, la connessione Wi-Fi potrebbe essere migliorata nelle camere. Tuttavia, ciò non ha compromesso l'esperienza positiva al Cinnah.",8,POS
Hotel Cinnah,Ankara,Italian,English(Chinese),"Impressionante design contemporaneo, servizi ottimi, colazione eccellente con una vasta selezione di piatti locali e internazionali.",Purtroppo la vista della mia camera non era la migliore.,8,POS
Hotel Cinnah,Ankara,Italian,Korean,Camera spaziosa con tutte le commodità. Personale molto gentile.,Difficoltà nel trovare il parcheggio.,7,POS
Hotel Cinnah,Ankara,Italian,English(Italian),"Camera confortevole, pulitissima. Personale disponibile e cortese. La posizione dell'hotel è strategica, vicino al centro. La colazione è varia e abbondante.","Wi-Fi a volte un po' lento, ma nulla di grave.",8,POS
